blend_name,company_name,description,flavors,vendor_location,notes,origin,price,review_date,roast,vendor_phone,vendor_website
Ethiopia Oromia Guji Washed,Dou Zhai Coffee & Roast,"Very sweet, floral, deeply rich. Date, tangerine zest, fresh pipe tobacco, freesia-like flowers, dark chocolate in aroma and cup. Complex and deeply rich structure; roundly tart acidity. Full, syrupy mouthfeel. The finish is dry but rings with rich tobacco and unsweetened chocolate far into the long.","['Fruity', 'Earthy/Herbal', 'Chocolatey']","Taoyuan, Taiwan","['Tangerine', 'Tobacco', 'Chocolate']","Guji Zone, Oromia Region, southern Ethiopia",NTD $600/225 grams,May 2019,Medium-Light,,www.douzhaicafe.com.tw
Kenya Murang’a Githiga AA,Evie's Cafe,"Very sweetly tart, floral-prominent and rich-toned. Lemon custard, red currant jam, tea rose, maple syrup and dried coconut in aroma and cup. Delightfully crisp and tart, though cohesively resonant in structure; very lightly though buoyantly syrupy in mouthfeel. The finish is pert and satisfying, with a lingering sweet crispness and a long aromatic trajectory.","['Fruity', 'Earthy/Herbal', 'Floral']","Chia-Yi, Taiwan","['Lemon', 'Tea', 'Rose', 'Coconut']","Muranga District, Central Province, Kenya",$27.00/16 ounces,May 2019,Medium-Light,,
Ethiopia Sidama Shantewene,Cafe Virtuoso,"Richly fruit-toned, musky sweet. Raspberry jam, fine musk, apple brandy, hop flowers, almond in aroma and cup. Balanced, sweet-tart-savory in structure with vibrant, juicy acidity; buoyant, syrupy mouthfeel. Crisp, resonant finish with raspberry, brandy and hops carrying into the long.","['Fruity', 'Nutty', 'Earthy/Herbal']","San Diego, California","['Raspberry', 'Apple', 'Almond', 'Hops']","Sidamo (also Sidama) growing region, south-central Ethiopia",$19.00/12 ounces,April 2019,Medium-Light,619-550-1830,www.cafevirtuoso.com
Gesha Village Estate Rebecca Natural G4,Small Eyes Café,"Richly sweet, cocoa- and fruit-toned. Concord grape, cocoa nib, sandalwood, maple syrup, lilac in aroma and cup. Sweet-toned structure with bright, juicy acidity; plush, syrupy mouthfeel. Resonant, flavor-saturated finish that highlights fruit and cocoa tones.","['Fruity', 'Chocolatey']","Yilan, Taiwan","['Grape', 'Cocoa']","Bench-Maji Zone, Southern Ethiopia",NT $350/8 ounces,April 2019,Medium-Light,,
Café Granja La Esperanza Sudan Rume Natural,PT's Coffee Roasting Co.,"Shifting, original, startling in its giddy intricacy. Winey pine (think retsina wine), cocoa powder, green apple, Concord grape, ginger blossom, much more in aroma and cup. Sweetly and delicately pungent in structure. Lightly syrupy and almost effervescently buoyant in mouthfeel. The winey pine character and a floral sweetness carry persuasively into a crisp finish.","['Chocolatey', 'Fruity', 'Spice']","Topeka, Kansas","['Cocoa', 'Apple', 'Grape', 'Ginger']","Valle del Cauca growing region, Colombia",$37.50/8 ounces,April 2019,Medium,,www.ptscoffee.com
Boru Batak Sumatra,Notch Coffee,"Deep, complex, sweetly pungent. Black currant, baker’s chocolate, moist, fresh-fallen leaves, maple syrup, a slight hint of juicy, berryish ferment in aroma and cup. Crisply sweet-savory in structure; plush, buoyant mouthfeel. Flavor resonates long into a richly drying finish.",['Chocolatey'],"Vancouver, British Columbia, Canada",['Chocolate'],"Lintong growing region, North Sumatra Province, Indonesia",CAD $18.00/340 grams,April 2019,Medium-Light,,www.notchcoffeee.com
Sumatra Tano Batak,Gracenote Coffee Roasters,"Sweetly and deeply pungent: earth and chocolate. Rich dark chocolate, fresh-turned humus, black currant, magnolia, cedar in aroma and cup. Pungent, sweet-tart in structure, with a profound savory bottom. The mouthfeel is not particularly full, but smooth, satiny. Nothing is lost in a flavor-saturated finish.","['Chocolatey', 'Floral', 'Earthy/Herbal']","Boston, Massachusetts","['Chocolate', 'Magnolia', 'Cedar']","Lintong growing region, North Sumatra Province, Indonesia",$18.00/12 ounces,April 2019,Medium-Light,,www.gracenotecoffee.com.
Sumatra Lintong,Peach Coffee Roasters,"Simultaneously citrusy and floral, yet deeply resonant and tobacco-toned. Cocoa, pink grapefruit zest, perique (fermented) tobacco, sandalwood, aromatic orchid in aroma and cup. Sweetly and exhilaratingly tart in structure; light, juicy mouthfeel. Grapefruit, sandalwood and flowers carry gracefully into a long, layered finish.","['Chocolatey', 'Fruity', 'Earthy/Herbal']","Johns Creek, Georgia","['Cocoa', 'Grapefruit', 'Tobacco']","Lintong growing region, North Sumatra Province, Indonesia",$17.00/12 ounces,April 2019,Medium,,www.peachcoffeeroasters.com
Ethiopia Natural Guji Hambela G1 Bishan Fugu,Kakalove Cafe,"Brightly sweet, deeply pungent. Fine musk, black currant, baker’s chocolate, violet, oak in aroma and cup. Sweet-toned structure with juicy acidity; crisp, lightly syrupy mouthfeel. The flavor-saturated finish consolidates around musk and currant notes with a hint of baker’s chocolate.",['Chocolatey'],"Chia-Yi, Taiwan",['Chocolate'],"Guji Zone, Oromia Region, southern Ethiopia",NT $650/16 ounces,April 2019,Medium-Light,,www.kakalovecafe.com.tw
Tanzania Tarime AB,Flight Coffee Co.,"Crisply sweet-savory, balanced. Jasmine, toffee, peach, cedar, tamarind in aroma and cup. Sweet-savory structure with juicy, vibrant acidity; syrupy-smooth mouthfeel. All of the flavor and aroma notes are carried over into the finish, gently receding into the pleasing long.","['Floral', 'Fruity', 'Earthy/Herbal']","Bedford, New Hampshire","['Jasmine', 'Peach', 'Cedar', 'Tamarind']","Mara growing region, Tarime, Tanzania",$17.00/12 ounces,April 2019,Medium-Light,603-836-6228,www.flightcoffeeco.com
El Salvador Cerro Las Ranas Honey Espresso,Kakalove Cafe,"Evaluated as espresso. Graceful, complex, balanced. Pomegranate, dark chocolate, jasmine, pink peppercorn, fresh-cut cedar in aroma and small cup. Plush, satiny mouthfeel; crisp, spiced-toned, chocolaty finish. In three parts milk, notes of dark chocolate and deep jasmine resonate, with pleasing undertones of aromatic wood.","['Fruity', 'Chocolatey', 'Floral', 'Earthy/Herbal']","Chia-Yi, Taiwan","['Pomegranate', 'Chocolate', 'Jasmine', 'Cedar']","Santa Ana region, El Salvador",NT $360/16 ounces,April 2019,Medium-Light,,www.kakalovecafe.com.tw
Panama Baru Geisha Black,Kakalove Cafe,"Richly sweet-savory. Passionfruit, dark chocolate, hop flowers, almond butter, wine barrel in aroma and cup. Deep sweet-savory structure with wine-like acidity; very full, syrupy mouthfeel. Crisp, richly fruit-toned finish with a throughline of dark chocolate.","['Chocolatey', 'Nutty', 'Sweet']","Chia-Yi, Taiwan","['Chocolate', 'Almond', 'Butter']","Boquete growing region, western Panama",NT $550/4 ounces,April 2019,Medium-Light,,www.kakalovecafe.com.tw
Flight Seasonal Espresso,Red Rooster Coffee Roaster,"Evaluated as espresso. Dark chocolate, tangerine zest, black cherry, cedar, violet in aroma and small cup. Viscous, satiny mouthfeel; crisply sweet-tart finish. Chocolate and citrus zest are pleasingly amplified in three parts milk, with notes of black cherry and violet-like flowers carrying into the long finish.","['Chocolatey', 'Fruity', 'Earthy/Herbal']","Floyd, Virginia","['Chocolate', 'Tangerine', 'Cherry', 'Cedar']",Costa Rica; Ethiopia,$17.99/12 ounces,March 2019,Medium-Light,540-745-7338,
Eaagads Estate Kenya,Greater Goods Coffee Roasters,"Nuanced, multi-layered, richly sweet-savory. Black currant, dark chocolate, sweet marjoram, narcissus, maple syrup in aroma and cup. Sweet-toned structure with savory underpinnings; vibrant, juicy acidity. The saturated finish consolidates to black currant, chocolate and marjoram.",['Chocolatey'],"Austin, Texas",['Chocolate'],"Kiambu County, south-central Kenya",$19.00/12 ounces,March 2019,Medium-Light,512-858-2680,
Ethiopia Guji,States Coffee & Mercantile,"Richly sweet, spice-toned. Star jasmine, mango chutney, sandalwood, cacao nib, pink peppercorn in aroma and cup. Sweet-savory structure with crisp acidity; plush, syrupy mouthfeel. A richly drying finish leads with notes of jasmine and mango, supported by hints of incense-like sandalwood.","['Floral', 'Fruity', 'Chocolatey']","Martinez, California","['Jasmine', 'Mango', 'Cacao']","Guji Zone, Oromia Region, southern Ethiopia",$12.00/8 ounces,March 2019,Medium-Light,,www.statescoffee.com
Ethiopia Yirgacheffe G1,Santos Coffee,"Multi-layered and expressive. Star jasmine, cherry, maple syrup, cocoa nib, almond in aroma and cup. Sweetly tart structure with lively acidity; full, syrupy mouthfeel. The resonant finish leads with notes of jasmine and almond in the short, with cocoa-toned cherry returning in the long.","['Floral', 'Fruity', 'Chocolatey', 'Nutty']","Minxiong, Chia-Yi, Taiwan","['Jasmine', 'Cherry', 'Cocoa', 'Almond']","Yirgacheffe growing region, southern Ethiopia",NT $250/225 grams,March 2019,Light,,
Kenya Karindundu AA Small Lot Reserve,Dragonfly Coffee Roasters,"Lush, deeply floral, resonantly tropical. Plumeria, coconut, dark chocolate, tamarind, frankincense in aroma and cup. The structure is superbly balanced among sweet, savory and tart, with juicy-bright acidity. Plush, syrupy mouthfeel. The seemingly eternal finish sustains all of the flavor notes from the cup in ringing harmony.","['Fruity', 'Chocolatey']","Boulder, Colorado","['Coconut', 'Chocolate', 'Tamarind']","Nyeri growing region, south-central Kenya",$18.00/12 ounces,February 2019,Medium-Light,303-579-2154,www.dragonflycoffeeroasters.com
Rwanda Kanzu,Dragonfly Coffee Roasters,"Spiced-toned, richly floral. Wisteria, sweet lime zest, date, white peppercorn, cocoa powder in aroma and cup. Sweet-tart structure with punchy acidity; crisp, lively, satiny mouthfeel. The short finish suggests a cannabis-like pungency, while cocoa and wisteria notes carry into the long.","['Fruity', 'Chocolatey']","Boulder, Colorado","['Lime', 'Cocoa']","Nyamasheke, Rwanda",$24.00/12 ounces,February 2019,Medium-Light,303-579-2154,www.dragonflycoffeeroasters.com
Ethiopia Kochere Natural,Dragonfly Coffee Roasters,"Richly bittersweet, complexly fruit-toned. Chocolate fudge, dried mulberry, candied pink grapefruit zest, pistachio brittle, wisteria-like flowers in aroma and cup. Deeply sweet structure with high-toned, lively acidity; velvety mouthfeel. The finish centers around notes of chocolate fudge and dried mulberry, with a pleasingly bittersweet pink grapefruit throughline.","['Chocolatey', 'Fruity']","Boulder, Colorado","['Chocolate', 'Grapefruit']","Yirgacheffe growing region, southern Ethiopia",$18.00/12 ounces,February 2019,Medium-Light,303-579-2154,www.dragonflycoffeeroasters.com
Kenya Thirikwa Single-Origin Espresso,Temple Coffee Roasters,"Evaluated as espresso. Floral-toned, sweetly roast-deep. Frangipane, chocolate fudge, black currant, jasmine, gently scorched cedar in aroma and small cup. Velvety-smooth mouthfeel; the rich, resonant finish centers around notes of black currant and jasmine with with hints of salted fudge. In three parts milk, chocolate and floral tones bloom richly, and black currant deepens.","['Chocolatey', 'Floral', 'Earthy/Herbal']","Sacramento, California","['Chocolate', 'Jasmine', 'Cedar']","Nyeri growing region, south-central Kenya",$22.00/12 ounces,February 2019,Medium,916-454-1282,www.templecoffee.com
Sumatra Tano Batak,Origin Coffee Roasters,"Nuanced, layered, richly sweet-savory. Fine musk, wisteria-like flowers, dark chocolate, pipe tobacco, black cherry in aroma and cup. Balanced sweet-tart-savory structure with juicy, vibrant acidity; plush, syrupy mouthfeel. The finish is resonant, flavor-saturated, and impressively long.","['Chocolatey', 'Earthy/Herbal', 'Fruity']","Kihei, Maui, Hawaii","['Chocolate', 'Tobacco', 'Cherry']","Lintong growing region, North Sumatra Province, Indonesia",$20.99/12 ounces,February 2019,Medium-Light,,www.origincoffeemaui.com
Rwanda Mushonyi Natural,Amavida Coffee Roasters,"Elegant, berry-toned, richly sweet. Blackberry coulis, elderflower, cacao nib, candycap mushroom, frankincense in aroma and cup. Sweet-tart structure with vibrant, juicy acidity; plush, syrupy mouthfeel. Rich, resonant finish that leads with blackberry and frankincense in the short, rounding to floral-toned cocoa in the long.","['Fruity', 'Chocolatey', 'Earthy/Herbal']","Santa Rosa Beach, Florida","['Blackberry', 'Cacao', 'Mushroom', 'Cocoa']","Rustiro District, Western Province, Rwanda",$19.95/8 ounces,February 2019,Medium-Light,850-213-1965,www.amavida.com
Ethiopia Hambela Natural Organic,Willoughby's Coffee & Tea,"Balanced, fruit-toned, deeply sweet. Mulberry, wine barrel, dark chocolate, sandalwood, freesia in aroma and cup. Sweet-tart structure with wine-like acidity; satiny-smooth mouthfeel. The finish leads with mulberry and dark chocolate, supported by spice-toned aromatic wood and freesia-like flowers.",['Chocolatey'],"Branford, Connecticut",['Chocolate'],"Guji Zone, Oromia Region, southern Ethiopia",$19.99/16 ounces,February 2019,Medium-Light,800-388-8400,www.willoughbyscoffee.com
Kenya AB,Vermont Artisan Coffee & Tea,"Roast-touched, floral-toned, richly chocolaty. Narcissus, chocolate fudge, black cherry, almond, lightly scorched mesquite in aroma and cup. Sweet-toned structure with crisp, malic acidity, suggesting green apple; full, creamy mouthfeel. The finish consolidates to chocolate fudge and black cherry with undertones of smoky mesquite.","['Chocolatey', 'Fruity', 'Nutty', 'Smoky']","Waterbury Center, Vermont","['Chocolate', 'Cherry', 'Almond', 'Apple', 'Smoky']",South-central Kenya,$18.00/12 ounces,February 2019,Medium,,www.vtartisan.com.
Tanzania Ngorongoro Ridge Peaberry,Flight Coffee Co.,"High-toned, richly sweet-savory. Red currant, dark chocolate, tangerine zest, hop flowers, sandalwood in aroma and cup. Richly bittersweet structure with vibrant, juicy acidity; plush, syrupy mouthfeel. Deep, flavor-saturated finish with red currant and dark chocolate carrying well into the long.","['Chocolatey', 'Fruity']","Bedford, New Hampshire","['Chocolate', 'Tangerine']","Arusha Region, northern Tanzania",$16.00/12 ounces,February 2019,Medium-Light,603-836-6228,www.flightcoffeeco.com
100% Kona Bourbon Pointu Laurina,Hula Daddy Kona Coffee,"Delicately fruit-toned, richly cocoa-driven. Ripe strawberry, dark chocolate,  almond, freesia-like flowers, a hint of wine barrel in aroma and cup. Sweet-tart structure with crisp, high-toned acidity; full, syrupy mouthfeel. The flavor-saturated finish sustains all of the aroma and flavor notes promised by the cup.","['Fruity', 'Chocolatey', 'Nutty']","Holualoa, Hawaii","['Strawberry', 'Chocolate', 'Almond']","Holualoa, North Kona growing district, “Big Island” of Hawaii",$44.95/8 ounces,February 2019,Medium-Light,888-553-2339,www.huladaddy.com
Ethiopia Haro Wachu,Turnstile Coffee Roasters,"Deftly roast-touched, richly chocolaty. Singed sandalwood, dark chocolate, dried mango, saffron, dahlia-like flowers in aroma and cup. Sweet-tart in structure with rich, vibrant acidity; viscous, silky mouthfeel. Quiet, chocolate- and floral-toned finish with a hint of saffron.","['Chocolatey', 'Fruity']","Belmar, New Jersey","['Chocolate', 'Mango']","Guji Zone, Oromia Region, southern Ethiopia",$15.00/8 ounces,February 2019,Medium-Light,732-894-9012,www.turnstilecoffee.com
Banco Gotete Ethiopia,JBC Coffee Roasters,"Delicate, richly floral, sweetly spice-toned. Almond nougat, white peach, pink peppercorn, wisteria-like flowers, fragrant sandalwood in aroma and cup. Richly bittersweet structure with vibrant, juicy acidity; plush, syrupy mouthfeel. Resonant, flavor-saturated finish centers around peach, wisteria and sandalwood.","['Nutty', 'Sweet', 'Fruity']","Madison, Wisconsin","['Almond', 'Nougat', 'Peach']","Yirgacheffe growing region, southern Ethiopia",$18.50/12 ounces,February 2019,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Kenya Ruthaka Peaberry,Temple Coffee Roasters,"Deeply sweet, richly savory. Dark chocolate, pistachio, red currant jam, honeysuckle, a hint of marjoram in aroma and cup. Balanced, sweetly savory structure with elegant, lilting acidity; lush, syrupy mouthfeel. The resonant finish consolidates to notes of dark chocolate and red currant, with undertones of crisp marjoram.","['Chocolatey', 'Floral']","Sacramento, California","['Chocolate', 'Honeysuckle']","Nyeri growing region, south-central Kenya",$19.00/12 ounces,January 2019,Medium,916-454-1282,www.templecoffee.com
